License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
79586,Woodward Crossing,8380 Broderick Cir,Gaithersburg,20877,148736,-77.169992791,39.14710462,07/30/2018,,2,1,32,8,1.50,1.70,2,0.00,0.00,at-risk,"(39.1471, -77.17)"
17447,"Greenwood Avenue, 8606",8606 Greenwood Ave,Takoma Park,20912,139527,-77.002441871,38.997358987,03/30/2017,,2,0,3,3,1.00,1.66,0,0.00,0.00,at-risk,"(38.9974, -77.0024)"
18013,Kensington House,10225 Frederick Ave,Kensington,20895,147579,-77.069487396,39.024679988,06/27/2018,,2,1,138,134,2.32,1.35,36,0.08,0.11,at-risk,"(39.0247, -77.0695)"
17956,"Plymouth Street, 8709",8709 Plymouth St,Silver Spring,20901,146670,-77.007283719,38.999676137,05/02/2018,,1,0,6,6,1.83,2.50,0,0.00,0.33,troubled,"(38.9997, -77.0073)"
17452,Holiday Park Townhouses,4115 Garrett Park Rd,Silver Spring,20906,140492,-77.082138852,39.046697659,06/13/2017,,2,1,20,10,3.00,1.14,1,0.00,0.00,at-risk,"(39.0467, -77.0821)"
105672,Not Available,302 PATTERSON CT,TAKOMA PARK,20912,138376,-76.99610192,38.987441463,04/19/2017,,1,0,5,8,3.25,1.76,0,0.00,0.00,troubled,"(38.9874, -76.9961)"
17285,"Greenwood Ave, 8515 & Browning Ave, 400",8515 Greenwood Ave,Takoma Park,20912,139469,-77.001453155,38.996178362,09/28/2017,,2,0,24,29,2.03,1.20,7,0.13,0.00,at-risk,"(38.9962, -77.0015)"
108557,The Point at Germantown Station,19200 CIRCLE GATE DR,GERMANTOWN,20874,146574,0,0,06/06/2018,,3,1,468,121,1.53,1.40,35,0.01,0.06,compliant,"(0.0, 0.0)"
57536,Covenant Village,18889 Waring Station Rd,Germantown,20874,149969,-77.246222132,39.166054016,08/22/2018,,2,1,89,22,0.77,1.60,10,0.00,0.00,at-risk,"(39.1661, -77.2462)"
18018,"Flower Avenue, 8411",8411 Flower Ave,Takoma Park,20912,138929,-77.002075883,38.994824714,04/07/2017,,1,0,2,4,9.50,1.81,0,0.00,0.00,troubled,"(38.9948, -77.0021)"
17533,"Houston Avenue, 902",902 Houston Ave,Takoma Park,20912,139604,-77.000130132,38.991664398,03/23/2017,,1,0,3,3,7.00,1.76,0,0.00,0.33,troubled,"(38.9917, -77.0001)"
100160,Acclaim at Germantown,12912 Falling Water Cir,Germantown,20874,154248,0,0,04/08/2019,,2,1,143,39,1.87,1.85,11,0.00,0.00,at-risk,"(0.0, 0.0)"
90206,308 PATTERSON CT,308 Patterson Ct,Takoma Park,20912,152900,-76.996619045,38.987762703,02/19/2019,,2,1,7,7,2.14,1.31,1,0.00,0.00,at-risk,"(38.9878, -76.9966)"
17438,"Flower Avenue, 8011",8011 Flower Ave,Takoma Park,20912,139543,-77.000826771,38.989742397,03/21/2017,,1,0,4,4,5.25,1.90,0,0.00,0.00,troubled,"(38.9897, -77.0008)"
17485,"Flower Avenue, 8001",8001 Flower Ave,Takoma Park,20912,151000,-77.000759913,38.988973599,12/03/2018,,3,1,1,1,2.00,1.50,0,0.00,0.00,compliant,"(38.989, -77.0008)"
88050,"Georgia Spring, LLC",923 Silver Spring Ave,Silver Spring,20910,146203,-77.025976941,38.991671882,03/16/2018,,2,1,3,3,1.33,2.00,1,0.00,0.00,at-risk,"(38.9917, -77.026)"
18000,"Main Street, 9863",9863 Main St,Damascus,20872,146576,-77.203362795,39.288217205,04/23/2018,,2,1,4,4,1.25,1.60,0,0.00,0.00,at-risk,"(39.2882, -77.2034)"
51600,"Rosewood Residences 2, Brookside View II",8206 Streamside Pl,Gaithersburg,20879,154497,0,0,05/20/2019,,1,1,48,11,2.09,2.13,1,0.00,0.00,troubled,"(0.0, 0.0)"
18215,"Kennebec Avenue, 807",807 Kennebec Ave,Takoma Park,20912,138369,-77.000056258,38.990198219,01/18/2017,,2,0,5,5,0.60,1.80,2,0.00,0.00,at-risk,"(38.9902, -77.0001)"
17304,"Plyers Mill Road, 4107",4107 Plyers Mill Rd,Kensington,20895,150064,-77.080639166,39.031424502,09/20/2018,,3,1,12,12,1.50,1.37,3,0.00,0.08,compliant,"(39.0314, -77.0806)"
17289,Strathmore Apartments,7025 Strathmore St,Chevy Chase,20815,146175,-77.092804305,38.979357033,03/19/2018,,2,1,28,8,0.87,1.62,1,0.00,0.00,at-risk,"(38.9794, -77.0928)"
17436,"Domer Avenue, 311",311 Domer Ave,Takoma Park,20912,139540,-77.002371502,38.996452878,04/04/2017,,1,0,8,8,1.50,1.20,4,0.12,0.25,troubled,"(38.9965, -77.0024)"
96607,910 KENNEBEC AVE,910 Kennebec Ave,Takoma Park,20912,139609,-76.999422977,38.990610061,03/28/2017,,1,0,3,3,4.00,2.08,0,0.00,0.00,troubled,"(38.9906, -76.9994)"
90162,"Quebec Flats, LLC",1011 Quebec Ter,Silver Spring,20903,139440,-76.988785758,39.000021777,04/12/2017,,1,0,8,4,6.00,1.78,0,0.25,0.25,troubled,"(39.0, -76.9888)"
17511,"Olney-Sandy Spring Road, 903 & 907",903 OLNEY SANDY SPRING RD,Laurel,20707,148734,-77.026805988,39.149640607,07/23/2018,,1,0,4,4,5.00,2.00,0,0.00,0.25,troubled,"(39.1496, -77.0268)"
17159,Sligo Park Hills,108 Schuyler Rd,Silver Spring,20901,150067,-77.012333577,39.002503816,09/18/2018,,1,1,26,7,3.14,1.55,1,0.00,0.00,troubled,"(39.0025, -77.0123)"
17322,"Maplewood Avenue, 806",806 Maplewood Ave,Takoma Park,20912,138944,-77.000070358,38.988622171,02/24/2017,,1,0,4,3,2.33,1.71,0,0.00,0.00,troubled,"(38.9886, -77.0001)"
95642,"Plymouth Street, 8710",8710 Plymouth St,Silver Spring,20901,154263,-77.007829129,38.999978123,04/01/2019,,2,1,6,6,3.00,1.00,2,0.00,0.00,at-risk,"(39.0, -77.0078)"
17999,"Piney Branch Road, 8202-8208",8202 Piney Branch Rd,Silver Spring,20910,141061,-77.009512488,38.992957894,06/20/2017,,2,0,2,2,4.00,1.06,1,0.00,0.00,at-risk,"(38.993, -77.0095)"
17991,James welu,811 Thayer Ave,Silver Spring,20910,138954,-77.023042018,38.993361718,03/09/2017,,1,0,3,2,3.00,1.60,0,0.00,0.00,troubled,"(38.9934, -77.023)"
18002,Hampton Point,3340 Hampton Point Dr,Silver Spring,20904,138294,-76.940884427,39.077518453,02/16/2017,,1,0,352,80,2.18,1.91,5,0.00,0.00,troubled,"(39.0775, -76.9409)"
112859,4715 Cordell Avenue,4715 Cordell Ave,Bethesda,20814,153784,0,0,03/10/2019,,2,1,32,2,2.50,1.20,0,0.00,0.00,at-risk,"(0.0, 0.0)"
50463,"Prospect Street, 907",907 Prospect St,Takoma Park,20912,138945,-76.998972686,38.989154837,02/09/2017,,2,0,2,2,1.50,2.00,0,0.00,0.00,at-risk,"(38.9892, -76.999)"
17985,"Garland Avenue, 8311",8311 Garland Ave,Takoma Park,20912,154052,-77.000101991,38.993866451,05/01/2019,,2,1,6,7,2.14,1.47,2,0.14,0.00,at-risk,"(38.9939, -77.0001)"
18210,"Georgia Avenue, 22310",22310 Georgia Ave,Brookeville,20833,154041,-77.060129493,39.222573116,03/18/2019,,3,1,2,2,0.00,0.00,6,0.00,0.00,compliant,"(39.2226, -77.0601)"
17311,"Plymouth Street, 8802",8802 Plymouth St,Silver Spring,20901,146617,-77.007572398,39.000774427,04/23/2018,,1,0,6,6,1.16,2.14,0,0.00,0.16,at-risk,"(39.0008, -77.0076)"
17527,Montgomery Club V,204 Water St,Gaithersburg,20877,150077,-77.204764456,39.136283731,04/01/2019,,2,1,47,7,0.85,2.14,2,0.00,0.00,at-risk,"(39.1363, -77.2048)"
17806,"Thayer Avenue, 808",808 Thayer Ave,Silver Spring,20910,138950,-77.02282367,38.992722032,04/04/2017,,1,0,2,2,3.50,1.85,0,0.00,0.00,troubled,"(38.9927, -77.0228)"
17756,"Glenville Road, 8815",8815 Glenville Rd,Silver Spring,20901,154039,-76.996347525,39.000390217,04/17/2019,,1,1,4,4,4.00,1.56,0,0.00,0.00,troubled,"(39.0004, -76.9963)"
17369,"Schrider Street, 8115",8115 Schrider St,Silver Spring,20910,141065,-77.014090876,38.991809103,05/26/2017,,2,0,9,9,2.11,1.22,2,0.11,0.00,at-risk,"(38.9918, -77.0141)"
17295,Silver Spring House Apartments,555 Thayer Ave,Silver Spring,20910,141072,-77.016635174,38.994244188,06/02/2017,,2,0,80,23,2.17,1.16,2,0.00,0.00,at-risk,"(38.9942, -77.0166)"
100298,Walker House,18700 Walkers Choice Rd,Montgomery Village,20886,154257,-77.205528285,39.163029922,05/15/2019,,3,1,212,56,1.67,1.02,22,0.03,0.00,compliant,"(39.163, -77.2055)"
27164,"Flower Avenue, 8201",8201 Flower Ave,Takoma Park,20912,139545,-77.001635967,38.991329441,04/04/2017,,1,0,4,3,0.33,0.00,3,0.00,0.33,troubled,"(38.9913, -77.0016)"
17433,"Flower Avenue, 8619",8619 Flower Ave,Takoma Park,20912,138939,-77.002997849,38.99730404,03/29/2017,,1,0,5,5,4.20,1.61,0,0.00,0.00,troubled,"(38.9973, -77.003)"
112805,"Plymouth Street, 8801",8801 Plymouth Street,Silver Spring,20910,154303,0,0,04/12/2019,,2,1,6,6,1.50,1.66,0,0.00,0.00,at-risk,"(0.0, 0.0)"
17549,Montgomery Club V I,17101 Queen Victoria Ct,Gaithersburg,20877,154043,-77.205009436,39.136577983,04/01/2019,,1,1,109,17,2.23,2.42,1,0.11,0.00,troubled,"(39.1366, -77.205)"
17741,"Avondale Street, 4516-4518",4516 Avondale St,Bethesda,20814,148706,-77.093027496,38.985921822,08/08/2018,,1,0,5,4,2.75,1.45,0,0.00,0.00,at-risk,"(38.9859, -77.093)"
18229,"Greenwood Avenue, 8405",8405 Greenwood Ave,Takoma Park,20912,139514,-77.000956993,38.99440736,04/06/2017,,1,0,3,1,1.00,5.00,0,0.00,1.00,troubled,"(38.9944, -77.001)"
17193,Fairfax Court,1 Fairfax Ct,Chevy Chase,20815,146168,-77.10277844,38.975455278,03/20/2018,,1,0,18,16,2.68,1.65,0,0.06,0.00,troubled,"(38.9755, -77.1028)"
17446,"Greenwood Avenue, 8507",8507 Greenwood Ave,Takoma Park,20912,139523,-77.001368702,38.995511145,03/07/2017,,2,0,4,4,3.25,1.30,0,0.00,0.00,at-risk,"(38.9955, -77.0014)"
105435,AHC Bucknell LLC,11500 BUCKNELL DR,SILVER SPRING,20902,154227,-77.046743289,39.043556844,04/30/2019,,1,1,40,12,2.41,2.10,0,0.08,0.00,troubled,"(39.0436, -77.0467)"
17175,"Avondale Street, 4526",4526 Avondale St,Bethesda,20814,146621,-77.093414422,38.98588311,04/24/2018,,1,0,4,4,3.00,1.83,0,0.00,0.50,troubled,"(38.9859, -77.0934)"
17331,"Flower Avenue, 8205",8205 Flower Ave,Takoma Park,20912,139546,-77.001720408,38.991595775,04/13/2017,,1,0,2,2,4.00,1.85,0,0.00,0.00,troubled,"(38.9916, -77.0017)"
105478,Randolph Village Apartments,531 RANDOLPH RD,SILVER SPRING,20904,144898,-77.020255394,39.067536882,11/22/2017,,3,1,129,31,0.12,0.28,26,0.00,0.00,compliant,"(39.0675, -77.0203)"
17180,Corona Apartments,714 Sligo Ave,Silver Spring,20910,140995,-77.01767567,38.990122747,06/07/2017,,2,0,43,11,3.00,1.41,3,0.18,0.09,at-risk,"(38.9901, -77.0177)"
17455,Thayer Terrace,525 Thayer Ave,Silver Spring,20910,141076,-77.014756323,38.994076967,05/25/2017,,1,0,74,21,3.38,1.79,1,0.33,0.23,troubled,"(38.9941, -77.0148)"
17272,Winexburg Manor,2301 Glenallan Ave,Silver Spring,20906,144859,-77.044061285,39.062115869,01/10/2018,,2,1,623,143,2.15,1.36,40,0.04,0.13,at-risk,"(39.0621, -77.0441)"
17615,Ridgewood Apartments,4021 Postgate Ter,Silver Spring,20906,152902,-77.077384615,39.087785828,02/13/2019,,2,1,274,274,1.79,1.76,49,0.00,0.01,at-risk,"(39.0878, -77.0774)"
17342,"Garland Avenue, 7907",7907 Garland Ave,Takoma Park,20912,151017,-76.998026297,38.989036761,11/08/2018,,1,0,3,4,5.00,2.25,0,0.00,0.50,troubled,"(38.989, -76.998)"
17288,"Avondale Street, 4523",4523 Avondale St,Bethesda,20814,146624,-77.09327428,38.986319793,05/02/2018,,2,1,4,4,1.25,2.00,0,0.00,0.00,at-risk,"(38.9863, -77.0933)"
16956,"Georgia Avenue, 20215",20215 Georgia Ave,Brookeville,20833,154040,-77.06448567,39.187550311,03/18/2019,,1,0,4,5,9.40,1.93,0,0.00,0.00,troubled,"(39.1876, -77.0645)"
95941,The Parc at Woodlake,14001 Castle Blvd,Silver Spring,20904,144805,-76.940498016,39.084672257,01/11/2018,,1,0,534,266,2.55,1.65,30,0.13,0.04,troubled,"(39.0847, -76.9405)"
17431,"Quebec Terrace, 1006",1006 Quebec Ter,Silver Spring,20903,139438,-76.989837898,38.999788507,03/22/2017,,1,0,14,14,4.64,1.66,0,0.07,0.00,troubled,"(38.9998, -76.9898)"
17752,"Avondale Street, 4512-4514",4512 Avondale St,Bethesda,20814,148707,-77.092830464,38.985941226,07/19/2018,,3,1,4,5,1.80,1.44,0,0.00,0.00,compliant,"(38.9859, -77.0928)"
17309,"Glenville Road, 8807",8807 Glenville Rd,Silver Spring,20901,154035,-76.996629034,38.999846551,04/10/2019,,2,1,4,4,0.50,1.75,2,0.00,0.00,at-risk,"(38.9998, -76.9966)"
112943,Auden Apartments,12631 Georgia Ave,Silver Spring,20906,144860,-77.053968105,39.063590574,01/10/2018,,1,0,165,34,2.47,1.58,3,0.05,0.00,troubled,"(39.0636, -77.054)"
17339,"Bradford Road, 8802",8802 Bradford Rd,Silver Spring,20901,139637,-77.006558971,39.000552082,04/12/2017,,2,0,6,6,1.83,1.81,1,0.00,0.16,at-risk,"(39.0006, -77.0066)"
95883,Holstein House,7903 Holstein St,Takoma Park,20912,138312,-76.998817873,38.98863865,01/13/2017,,3,1,1,1,0.00,0.00,1,0.00,0.00,compliant,"(38.9886, -76.9988)"
17508,"Thayer Avenue, 810",810 Thayer Ave,Silver Spring,20910,138290,-77.023017205,38.992719231,02/10/2017,,1,0,3,3,4.33,1.53,0,0.00,0.33,troubled,"(38.9927, -77.023)"
17759,"Houston Avenue, 904",904 Houston Ave,Takoma Park,20912,139605,-76.999922556,38.991708326,06/14/2017,,2,0,1,1,1.00,5.00,0,0.00,0.00,at-risk,"(38.9917, -76.9999)"
17690,"Nolte Avenue, 8207",8207 Nolte Ave,Silver Spring,20910,141004,-77.01291603,38.993360558,06/01/2017,,2,0,7,7,4.42,1.40,0,0.00,0.00,at-risk,"(38.9934, -77.0129)"
18246,Hamptons Phase I I I,19773 Crystal Rock Dr,Germantown,20874,146691,-77.261921418,39.180572648,07/12/2018,,3,1,232,56,1.51,1.49,11,0.00,0.05,compliant,"(39.1806, -77.2619)"
17679,"Plymouth Street, 8807",8807 Plymouth St,Silver Spring,20901,146630,-77.006854541,39.00097215,04/16/2018,,2,1,6,6,1.50,1.75,1,0.00,0.16,at-risk,"(39.001, -77.0069)"
105594,North Bethesda Market,11351 WOODGLEN DR,ROCKVILLE,20852,146687,-77.113047723,39.04298445,05/31/2018,,3,1,411,105,0.29,0.49,75,0.00,0.00,compliant,"(39.043, -77.113)"
17298,Mill Creek Garden Apartments,17654 Amity Dr,Gaithersburg,20877,154042,-77.169173674,39.143673816,03/25/2019,,2,1,148,39,1.79,2.33,3,0.05,0.00,at-risk,"(39.1437, -77.1692)"
17804,"Plymouth Street, 8715",8715 Plymouth St,Silver Spring,20901,141063,-77.007132459,39.00011,06/05/2017,,2,0,4,4,2.50,1.22,0,0.00,0.00,at-risk,"(39.0001, -77.0071)"
17327,Manor Apartments,25801 Wright Rd,Damascus,20872,146573,-77.21008883,39.280070471,04/02/2018,,2,1,3,3,0.66,1.66,1,0.00,0.00,at-risk,"(39.2801, -77.2101)"
17333,"Avondale Street, 4531",4531 Avondale St,Bethesda,20814,146625,-77.093657665,38.986278275,04/23/2018,,2,1,4,4,2.75,1.29,1,0.00,0.00,at-risk,"(38.9863, -77.0937)"
17503,"Prospect Street, 911",911 Prospect St,Takoma Park,20912,138308,-76.998673604,38.989215248,02/09/2017,,1,0,2,2,2.50,1.60,0,0.00,0.00,troubled,"(38.9892, -76.9987)"
17528,"Flower Avenue, 8601",8601 Flower Ave,Takoma Park,20912,139551,-77.00285001,38.996749409,03/22/2017,,2,0,4,5,1.80,1.66,0,0.00,0.00,at-risk,"(38.9967, -77.0029)"
17960,"Prospect Street, 915",915 Prospect St,Takoma Park,20912,139622,-76.998502106,38.989471755,03/21/2017,,2,0,3,3,3.00,1.33,0,0.00,0.00,at-risk,"(38.9895, -76.9985)"
100380,"Silver Spring Avenue, 605",605 SILVER SPRING AVE,SILVER SPRING,20910,154299,-77.013679384,38.992440639,04/02/2019,,1,1,4,4,2.50,1.70,0,0.00,0.00,troubled,"(38.9924, -77.0137)"
17495,"Long Branch Parkway, 7916",7916 Long Branch Pkwy,Takoma Park,20912,154266,-76.996787893,38.988034569,04/04/2019,,3,1,3,3,0.00,0.00,3,0.00,0.00,compliant,"(38.988, -76.9968)"
108658,Liberty Mill Apartments,19520 WATERS RD,GERMANTOWN,20874,,-77.273991699,39.176052319,,,3,0,303,,,,,,,compliant,"(39.1761, -77.274)"
18140,"Flower Avenue, 8415",8415 Flower Ave,Takoma Park,20912,153879,-77.002192017,38.995102006,05/06/2019,,1,1,5,5,3.00,1.93,0,0.00,0.00,troubled,"(38.9951, -77.0022)"
17611,"Garland Avenue, 8315",8315 Garland Ave,Takoma Park,20912,154053,-77.000109072,38.994215164,04/02/2019,,3,1,3,5,1.60,1.50,1,0.00,0.00,compliant,"(38.9942, -77.0001)"
50460,"Prospect Street, 903",903 Prospect St,Takoma Park,20912,139620,-76.999486456,38.989266554,03/21/2017,,1,0,1,1,5.00,2.00,0,0.00,0.00,troubled,"(38.9893, -76.9995)"
17384,Battery Gardens,4918 Battery Ln,Bethesda,20814,147567,-77.099565192,38.991816986,06/13/2018,,2,1,62,17,1.76,1.63,4,0.00,0.00,at-risk,"(38.9918, -77.0996)"
17656,"Glenview Avenue, 8512",8512 Glenview Ave,Takoma Park,20912,148714,-77.000390543,38.996332121,07/17/2018,,1,0,5,5,5.40,1.64,0,0.20,0.00,troubled,"(38.9963, -77.0004)"
17683,"Plymouth Street, 8803",8803 Plymouth St,Silver Spring,20901,146661,-77.006970643,39.000631674,04/03/2018,,2,1,6,6,2.00,1.73,1,0.00,0.16,at-risk,"(39.0006, -77.007)"
17574,Fawcett Apartments,10411 Fawcett St,Kensington,20895,145336,-77.073231216,39.026734237,01/19/2018,,2,1,12,14,1.64,1.69,1,0.00,0.14,at-risk,"(39.0267, -77.0732)"
17468,"Wabash Avenue, 901",901 Wabash Ave,Takoma Park,20912,139623,-77.000960525,38.993795074,03/29/2017,,1,0,2,2,4.00,1.62,0,0.00,0.50,troubled,"(38.9938, -77.001)"
17570,"Quebec Terrace, 1010",1010 Quebec Ter,Silver Spring,20903,139439,-76.989412066,39.000255246,03/30/2017,,1,0,14,14,5.35,1.74,0,0.14,0.00,troubled,"(39.0003, -76.9894)"
108315,Quest Arcadian,13615 COLGATE WAY,SILVER SPRING,20904,146174,0,0,04/06/2018,,3,1,432,103,1.40,1.45,15,0.00,0.01,compliant,"(0.0, 0.0)"
17389,Glen Aldon,4858 Battery Ln,Bethesda,20814,154033,-77.097673061,38.992345772,04/16/2019,,2,1,66,18,1.50,1.80,3,0.00,0.00,at-risk,"(38.9923, -77.0977)"
17320,"Greenwood Avenue, 8503",8503 Greenwood Ave,Takoma Park,20912,146191,-77.00120684,38.995253054,03/20/2018,,1,0,5,5,1.00,2.60,0,0.00,0.40,troubled,"(38.9953, -77.0012)"
18227,"Holstein Street, 7902",7902 Holstein St,Takoma Park,20912,138372,-76.999257612,38.988561755,04/10/2017,,1,0,2,1,30.00,1.66,0,0.00,0.00,troubled,"(38.9886, -76.9993)"
17962,"Garland Avenue, 8312",8312 Garland Ave,Takoma Park,20912,151016,-77.000580532,38.994311262,12/20/2018,,2,1,3,3,1.00,3.33,0,0.00,0.00,at-risk,"(38.9943, -77.0006)"
17347,Glenmont Crossing,2100 Georgian Woods Pl,Silver Spring,20902,154034,-77.04482214,39.054771972,04/01/2019,,2,1,97,25,2.60,1.47,4,0.00,0.00,at-risk,"(39.0548, -77.0448)"
88246,Yorkshire II,11401 July Dr,Silver Spring,20904,149957,-76.981718706,39.041601375,09/17/2018,,3,1,97,24,0.41,0.70,17,0.00,0.04,compliant,"(39.0416, -76.9817)"
17823,"Glenville Road, 8806",8806 Glenville Rd,Silver Spring,20901,154055,-76.997251828,39.000025044,04/17/2019,,2,1,8,8,2.25,1.27,2,0.00,0.00,at-risk,"(39.0, -76.9973)"
90131,Enclave Silver Spring,11225 Oak Leaf Dr,Silver Spring,20901,154158,-76.995328311,39.03895774,03/07/2019,,1,0,1119,1082,2.49,1.55,274,0.13,0.12,troubled,"(39.039, -76.9953)"
17977,Barbizon Apartments,735 Sligo Ave,Silver Spring,20910,150071,-77.019762102,38.990674285,05/06/2019,,2,1,74,20,0.55,1.80,2,0.00,0.05,at-risk,"(38.9907, -77.0198)"
18128,"Quebec Terrace, 1000",1000 Quebec Ter,Silver Spring,20903,139436,-76.989792273,38.999033428,03/21/2017,,1,0,10,10,6.90,1.42,0,0.30,0.00,troubled,"(38.999, -76.9898)"
106915,Flats At Bethesda Avenue,7170 WOODMONT AVE,BETHESDA,20814,145353,-77.095103134,38.980648417,01/25/2018,,3,1,162,40,0.15,0.16,35,0.00,0.00,compliant,"(38.9806, -77.0951)"
108600,The Sanctuary,426 UNIVERSITY BLVD E,SILVER SPRING,20901,153859,0,0,05/20/2019,,3,1,75,0,0.00,0.00,0,0.00,0.00,compliant,"(0.0, 0.0)"
17355,Carroll Apartments,8733 Carroll Ave,Silver Spring,20903,139627,-76.990503052,38.999019766,04/27/2017,,1,0,52,27,3.51,1.53,2,0.03,0.07,troubled,"(38.999, -76.9905)"
17585,Montgomery Club V I I,9901 Killarney Ln,Gaithersburg,20877,154044,-77.206142596,39.13368172,04/15/2019,,1,1,112,31,1.61,1.69,6,0.29,0.00,troubled,"(39.1337, -77.2061)"
17469,"Hudson Avenue, 908",908 Hudson Ave,Takoma Park,20912,139607,-77.000555857,38.99297687,03/23/2017,,1,0,6,6,2.50,1.61,1,0.00,0.33,troubled,"(38.993, -77.0006)"
108282,Villaflores,8808 BRADFORD RD,SILVER SPRING,20901,139639,-77.006400627,39.001024347,03/21/2017,,3,1,6,12,1.00,0.87,5,0.00,0.00,compliant,"(39.001, -77.0064)"
17465,"Sligo Avenue, 609",609 Sligo Ave,Silver Spring,20910,141073,-77.013239399,38.991556589,06/12/2017,,1,0,4,4,2.25,1.87,0,0.00,0.00,troubled,"(38.9916, -77.0132)"
42982,"Long Branch Parkway, 7920",7920 Long Branch Pkwy,Takoma Park,20912,154267,-76.997048254,38.9882789,03/29/2019,,3,1,1,1,0.00,0.00,1,0.00,0.00,compliant,"(38.9883, -76.997)"
16958,"Silver Spring Avenue, 616",616 Silver Spring Ave,Silver Spring,20910,142395,-77.013876284,38.991839335,08/08/2017,,1,0,4,5,3.40,2.05,0,0.00,0.00,troubled,"(38.9918, -77.0139)"
50345,"Houston Avenue, 807",807 Houston Ave,Takoma Park,20912,139564,-77.00097105,38.991038386,03/21/2017,,3,1,2,3,0.00,0.00,2,0.00,0.00,compliant,"(38.991, -77.001)"
18009,"Fawcett Street, 10410",10410 Fawcett St,Kensington,20895,146161,-77.074044381,39.026774891,03/15/2018,,3,1,7,9,0.66,0.59,5,0.00,0.00,compliant,"(39.0268, -77.074)"
17291,Garland Towers,8221 Garland Ave,Takoma Park,20912,151790,-76.999669247,38.992721495,11/15/2018,,3,1,25,6,0.00,0.00,6,0.00,0.00,compliant,"(38.9927, -76.9997)"
95888,"Kennebec Avenue, 1001",1001 KENNEBEC AVE,TAKOMA PARK,20912,138370,-76.998332315,38.990110349,02/02/2017,,1,0,3,3,2.66,2.25,0,0.00,0.00,troubled,"(38.9901, -76.9983)"
17481,"Silver Spring Avenue, 511",511 Silver Spring Ave,Silver Spring,20910,142392,-77.012659143,38.993154664,08/30/2017,,3,1,6,7,1.14,1.16,2,0.00,0.14,compliant,"(38.9932, -77.0127)"
17488,"Silver Spring Avenue, 601",601 Silver Spring Ave,Silver Spring,20910,142394,-77.01354569,38.992492825,07/28/2017,,3,1,4,4,0.75,0.75,3,0.00,0.00,compliant,"(38.9925, -77.0135)"
31124,Pond Ridge,18100 Pond Ridge Ct,Olney,20832,153764,-77.05019578,39.155632362,04/23/2019,,3,1,40,6,0.50,1.00,3,0.00,0.00,compliant,"(39.1556, -77.0502)"
17401,Dorset Apartments,4757 Chevy Chase Dr,Chevy Chase,20815,147529,-77.093575364,38.9771626,07/10/2018,,3,1,69,17,0.35,0.63,12,0.00,0.05,compliant,"(38.9772, -77.0936)"
17366,Hampshire West,1432 Hampshire West Ct,Silver Spring,20903,154229,-76.982358498,39.008442062,04/09/2019,,3,1,184,47,0.53,0.96,30,0.04,0.00,compliant,"(39.0084, -76.9824)"
17317,Woodfield Apartments LLC,23901 Woodfield Rd,Gaithersburg,20882,154255,-77.192985245,39.249424111,05/16/2019,,3,1,4,5,0.20,0.60,4,0.00,0.00,compliant,"(39.2494, -77.193)"
17643,Lenox Park,1400 East West Hwy,Silver Spring,20910,146555,-77.033396813,38.993705216,06/14/2018,,3,1,406,91,0.30,1.49,23,0.02,0.03,compliant,"(38.9937, -77.0334)"
17158,Arcola Towers,1135 University Blvd W,Silver Spring,20902,153891,-77.028695735,39.03634752,03/21/2019,,3,1,141,36,0.58,0.64,22,0.11,0.00,compliant,"(39.0363, -77.0287)"
17644,Drings Reach,3407 Robey Ter,Silver Spring,20904,152886,-76.938522337,39.082940039,02/28/2019,,3,1,105,101,1.26,1.31,41,0.00,0.00,compliant,"(39.0829, -76.9385)"
18217,"Bonifant Street, 939",939 Bonifant St,Silver Spring,20910,143630,-77.025371472,38.994124555,09/22/2017,,3,1,2,2,1.00,1.00,0,0.00,0.00,compliant,"(38.9941, -77.0254)"
17547,The Birches,1532 Heather Hollow Cir,Silver Spring,20904,154293,-76.980971525,39.040723373,05/23/2019,,3,1,226,57,1.08,1.14,31,0.01,0.00,compliant,"(39.0407, -76.981)"
17607,"Quebec Terrace, 1017",1017 Quebec Ter,Silver Spring,20903,139442,-76.988205134,39.00011234,03/22/2017,,1,0,4,4,4.50,2.22,0,0.00,0.25,troubled,"(39.0001, -76.9882)"
17403,Glen Brook,4890 Battery Ln,Bethesda,20814,146533,-77.098569686,38.991955095,05/15/2018,,3,1,94,24,1.00,1.12,11,0.00,0.00,compliant,"(38.992, -77.0986)"
17287,"Avondale Street, 4519",4519 Avondale St,Bethesda,20814,146623,-77.093077254,38.986344631,05/02/2018,,3,1,4,4,0.75,0.83,2,0.00,0.00,compliant,"(38.9863, -77.0931)"
17753,"Garland Avenue, 8314",8314 Garland Ave,Takoma Park,20912,150980,-77.000545306,38.994467776,10/04/2018,,3,1,5,5,0.00,0.00,5,0.00,0.00,compliant,"(38.9945, -77.0005)"
34400,"Lewis Drive, 10325",10325 Lewis Dr,Damascus,20872,154460,-77.214792324,39.289929339,05/03/2019,,3,1,2,2,0.00,0.00,2,0.00,0.00,compliant,"(39.2899, -77.2148)"
